,Category,Name,Artwork
0,0,Titian,Titian_104.jpg
1,1,Albrecht_DuтХа├кrer,Albrecht_DuтХа├кrer_226.jpg
2,2,Edgar_Degas,Edgar_Degas_602.jpg
3,3,Marc_Chagall,Marc_Chagall_55.jpg
4,4,Paul_Klee,Paul_Klee_1.jpg
5,5,Andy_Warhol,Andy_Warhol_181.jpg
6,2,Edgar_Degas,Edgar_Degas_469.jpg
7,6,Francisco_Goya,Francisco_Goya_187.jpg
8,7,Vincent_van_Gogh,Vincent_van_Gogh_374.jpg
9,8,Sandro_Botticelli,Sandro_Botticelli_106.jpg
10,9,Pieter_Bruegel,Pieter_Bruegel_34.jpg
11,7,Vincent_van_Gogh,Vincent_van_Gogh_446.jpg
12,0,Titian,Titian_10.jpg
13,10,Henri_Matisse,Henri_Matisse_35.jpg
14,11,Albrecht_Du╠Иrer,Albrecht_Du╠Иrer_258.jpg
15,10,Henri_Matisse,Henri_Matisse_15.jpg
16,1,Albrecht_DuтХа├кrer,Albrecht_DuтХа├кrer_70.jpg
17,12,Paul_Gauguin,Paul_Gauguin_250.jpg
18,5,Andy_Warhol,Andy_Warhol_9.jpg
19,13,Rembrandt,Rembrandt_253.jpg
20,14,El_Greco,El_Greco_19.jpg
21,2,Edgar_Degas,Edgar_Degas_252.jpg
22,15,Rene_Magritte,Rene_Magritte_167.jpg
23,5,Andy_Warhol,Andy_Warhol_76.jpg
24,16,Salvador_Dali,Salvador_Dali_32.jpg
25,12,Paul_Gauguin,Paul_Gauguin_297.jpg
26,3,Marc_Chagall,Marc_Chagall_139.jpg
27,17,Pablo_Picasso,Pablo_Picasso_405.jpg
28,18,Diego_Velazquez,Diego_Velazquez_16.jpg
29,2,Edgar_Degas,Edgar_Degas_529.jpg
30,8,Sandro_Botticelli,Sandro_Botticelli_103.jpg
31,7,Vincent_van_Gogh,Vincent_van_Gogh_796.jpg
32,19,Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_266.jpg
33,20,Gustave_Courbet,Gustave_Courbet_11.jpg
34,17,Pablo_Picasso,Pablo_Picasso_317.jpg
35,15,Rene_Magritte,Rene_Magritte_5.jpg
36,4,Paul_Klee,Paul_Klee_72.jpg
37,21,Henri_Rousseau,Henri_Rousseau_60.jpg
38,22,Leonardo_da_Vinci,Leonardo_da_Vinci_8.jpg
39,22,Leonardo_da_Vinci,Leonardo_da_Vinci_43.jpg
40,1,Albrecht_DuтХа├кrer,Albrecht_DuтХа├кrer_178.jpg
41,19,Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_310.jpg
42,10,Henri_Matisse,Henri_Matisse_129.jpg
43,23,Edouard_Manet,Edouard_Manet_26.jpg
44,7,Vincent_van_Gogh,Vincent_van_Gogh_336.jpg
45,11,Albrecht_Du╠Иrer,Albrecht_Du╠Иrer_312.jpg
46,7,Vincent_van_Gogh,Vincent_van_Gogh_525.jpg
47,0,Titian,Titian_195.jpg
48,6,Francisco_Goya,Francisco_Goya_128.jpg
49,24,Frida_Kahlo,Frida_Kahlo_80.jpg
50,0,Titian,Titian_167.jpg
51,25,Georges_Seurat,Georges_Seurat_4.jpg
52,2,Edgar_Degas,Edgar_Degas_321.jpg
53,26,Alfred_Sisley,Alfred_Sisley_252.jpg
54,7,Vincent_van_Gogh,Vincent_van_Gogh_768.jpg
55,27,Peter_Paul_Rubens,Peter_Paul_Rubens_116.jpg
56,17,Pablo_Picasso,Pablo_Picasso_357.jpg
57,28,Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_74.jpg
58,13,Rembrandt,Rembrandt_2.jpg
59,17,Pablo_Picasso,Pablo_Picasso_330.jpg
60,8,Sandro_Botticelli,Sandro_Botticelli_21.jpg
